pre_epsilon_mean,post_epsilon_mean,delta_epsilon_mean,pre_epsilon_arithmetic_mean,post_epsilon_arithmetic_mean,pre_qobs_valid_days,post_qobs_valid_days,pre_n_recession_days_predicted,post_n_recession_days_predicted,GCIN,fold
0.03788814693689346,0.041150931268930435,0.003262784332036972,0.015746984630823135,0.01582125388085842,940,1336,940,1336,3580,0
0.1130993589758873,0.1161269098520279,0.0030275508761405945,0.03114287368953228,0.031797245144844055,1332,3630,1332,3630,3581,0
0.12691381573677063,0.14479729533195496,0.017883479595184326,0.025273039937019348,0.02652309462428093,257,984,257,984,3583,0
0.21757648885250092,0.2538585364818573,0.036282047629356384,0.030995626002550125,0.03219721093773842,638,1328,638,1328,3584,0
0.1955895870923996,0.19228634238243103,-0.003303244709968567,0.04042375087738037,0.038364242762327194,327,810,327,810,3585,0
0.1312333643436432,0.14322146773338318,0.01198810338973999,0.03726053610444069,0.037894107401371,903,1952,903,1952,3589,0
0.0846644788980484,0.08455602079629898,-0.00010845810174942017,0.021270280703902245,0.02127947099506855,720,1672,720,1672,3590,0
0.09367591887712479,0.09482429921627045,0.0011483803391456604,0.026354359462857246,0.025481238961219788,706,1234,706,1234,3600,0
0.15122565627098083,0.1546349823474884,0.0034093260765075684,0.03532452508807182,0.03468632325530052,691,1227,691,1227,3605,0
0.1338963657617569,0.1401573121547699,0.0062609463930130005,0.030185185372829437,0.029903138056397438,713,1202,713,1202,3606,0
0.07113173604011536,0.06174945831298828,-0.009382277727127075,0.019420450553297997,0.0179694015532732,588,1365,588,1365,3615,0
0.06632499396800995,0.06579503417015076,-0.0005299597978591919,0.018231499940156937,0.017566537484526634,633,1284,633,1284,3637,0
0.06958314776420593,0.06591632217168808,-0.003666825592517853,0.02019772119820118,0.020109597593545914,910,2026,910,2026,3644,0
0.07820827513933182,0.08075791597366333,0.0025496408343315125,0.021415241062641144,0.022231221199035645,451,836,451,836,3646,0
0.0643414631485939,0.06624450534582138,0.001903042197227478,0.01857588440179825,0.01872209832072258,679,1657,679,1657,3647,0
0.10769622027873993,0.10561655461788177,-0.0020796656608581543,0.028261754661798477,0.02753942832350731,705,2037,705,2037,3657,0
0.06098796799778938,0.06067906692624092,-0.0003089010715484619,0.019906364381313324,0.0193681288510561,1069,2506,1069,2506,3658,0
0.05571599304676056,0.05699039250612259,0.00127439945936203,0.01881449483335018,0.01900552399456501,1146,2588,1146,2588,3659,0
0.08740134537220001,0.0824320837855339,-0.004969261586666107,0.02363879233598709,0.024228882044553757,632,2254,632,2254,3666,0
0.07544969022274017,0.07883641868829727,0.0033867284655570984,0.02315366268157959,0.02305026724934578,1021,1870,1021,1870,3670,0
0.1496126502752304,0.1559654176235199,0.00635276734828949,0.036386359483003616,0.03691483661532402,740,1906,740,1906,3679,0
0.13253219425678253,0.12261294573545456,-0.009919248521327972,0.03220963478088379,0.031565822660923004,415,2019,415,2019,3681,0
0.8917309641838074,0.9160515666007996,0.024320602416992188,0.129568949341774,0.12232314795255661,2032,1813,2032,1813,3687,0
0.11578021198511124,0.11711941659450531,0.0013392046093940735,0.029806125909090042,0.029627645388245583,820,1822,820,1822,3693,0
0.09556657075881958,0.09197115153074265,-0.003595419228076935,0.02638901211321354,0.02603754773736,353,1779,353,1779,3700,0
0.09709565341472626,0.09676740318536758,-0.0003282502293586731,0.027911117300391197,0.02830718271434307,955,2314,955,2314,3705,0
0.08835846185684204,0.08755413442850113,-0.0008043274283409119,0.02383721061050892,0.024117423221468925,337,1072,337,1072,3710,0
0.06955152750015259,0.06413048505783081,-0.005421042442321777,0.021320853382349014,0.020921185612678528,556,2916,556,2916,3713,0
0.11799547076225281,0.12158318608999252,0.0035877153277397156,0.027064772322773933,0.027793029323220253,514,2273,514,2273,3737,0
